Geonr_siste;	GeoNamn_siste;	KomNr;	KommuneNamn;	Geonr_LGG201;	GeoNamn_LGG201;	RHF;	KOSTRAgruppe;	AAR;	Geonr_fra;	Geonamn_fra;	folketal_fra;	befAndel_i_fraGeo;	LGG;	sortnr
030102;	Grünerløkka;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2012;	030102;	Grünerløkka;	49307;	1;	LGG003;	312
030102;	Grünerløkka;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2013;	030102;	Grünerløkka;	50507;	1;	LGG002;	291
030102;	Grünerløkka;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2013;	030102;	Grünerløkka;	50507;	1;	LGG003;	312
030102;	Grünerløkka;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2014;	030102;	Grünerløkka;	52198;	1;	LGG002;	291
030102;	Grünerløkka;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2014;	030102;	Grünerløkka;	52198;	1;	LGG003;	312
030102;	Grünerløkka;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2015;	030102;	Grünerløkka;	54701;	1;	LGG002;	291
030102;	Grünerløkka;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2015;	030102;	Grünerløkka;	54701;	1;	LGG003;	312
030102;	Grünerløkka;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2016;	030102;	Grünerløkka;	56283;	1;	LGG002;	291
030102;	Grünerløkka;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2016;	030102;	Grünerløkka;	56283;	1;	LGG003;	312
030102;	Grünerløkka;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2017;	030102;	Grünerløkka;	57567;	1;	LGG002;	291
030102;	Grünerløkka;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2017;	030102;	Grünerløkka;	57567;	1;	LGG003;	312
030102;	Grünerløkka;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2018;	030102;	Grünerløkka;	58906;	1;	LGG002;	291
030102;	Grünerløkka;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2018;	030102;	Grünerløkka;	58906;	1;	LGG003;	312
030102;	Grünerløkka;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2019;	030102;	Grünerløkka;	60844;	1;	LGG002;	291
030102;	Grünerløkka;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2019;	030102;	Grünerløkka;	60844;	1;	LGG003;	312
030102;	Grünerløkka;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2020;	030102;	Grünerløkka;	62423;	1;	LGG002;	291
030102;	Grünerløkka;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2020;	030102;	Grünerløkka;	62423;	1;	LGG003;	312
030102;	Grünerløkka;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2021;	030102;	Grünerløkka;	63456;	1;	LGG002;	291
030102;	Grünerløkka;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2021;	030102;	Grünerløkka;	63456;	1;	LGG003;	312
030102;	Grünerløkka;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2022;	030102;	Grünerløkka;	63891;	1;	LGG002;	291
030102;	Grünerløkka;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2022;	030102;	Grünerløkka;	63891;	1;	LGG003;	312
030102;	Grünerløkka;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2023;	030102;	Grünerløkka;	64270;	1;	LGG002;	291
030102;	Grünerløkka;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2023;	030102;	Grünerløkka;	64270;	1;	LGG003;	312
030102;	Grünerløkka;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2024;	030102;	Grünerløkka;	65577;	1;	LGG002;	291
030102;	Grünerløkka;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2024;	030102;	Grünerløkka;	65577;	1;	LGG003;	312
030102;	Grünerløkka;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2025;	030102;	Grünerløkka;	66404;	1;	LGG002;	291
030102;	Grünerløkka;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2025;	030102;	Grünerløkka;	66404;	1;	LGG003;	312
030103;	Sagene;	0301;	Oslo;	OPT14;	Oslo universitetssykehus;	Helse Sør-Øst;	Kostragr 13;	2010;	030103;	Sagene;	34286;	1;	LGG002;	301
030103;	Sagene;	0301;	Oslo;	OPT14;	Oslo universitetssykehus;	Helse Sør-Øst;	Kostragr 13;	2010;	030103;	Sagene;	34286;	1;	LGG003;	322
030103;	Sagene;	0301;	Oslo;	OPT14;	Oslo universitetssykehus;	Helse Sør-Øst;	Kostragr 13;	2011;	030103;	Sagene;	35115;	1;	LGG002;	301
030103;	Sagene;	0301;	Oslo;	OPT14;	Oslo universitetssykehus;	Helse Sør-Øst;	Kostragr 13;	2011;	030103;	Sagene;	35115;	1;	LGG003;	322
030103;	Sagene;	0301;	Oslo;	OPT14;	Oslo universitetssykehus;	Helse Sør-Øst;	Kostragr 13;	2012;	030103;	Sagene;	35990;	1;	LGG002;	301
030103;	Sagene;	0301;	Oslo;	OPT14;	Oslo universitetssykehus;	Helse Sør-Øst;	Kostragr 13;	2012;	030103;	Sagene;	35990;	1;	LGG003;	322
030103;	Sagene;	0301;	Oslo;	OPT14;	Oslo universitetssykehus;	Helse Sør-Øst;	Kostragr 13;	2013;	030103;	Sagene;	37053;	1;	LGG002;	301
030103;	Sagene;	0301;	Oslo;	OPT14;	Oslo universitetssykehus;	Helse Sør-Øst;	Kostragr 13;	2013;	030103;	Sagene;	37053;	1;	LGG003;	322
030103;	Sagene;	0301;	Oslo;	OPT14;	Oslo universitetssykehus;	Helse Sør-Øst;	Kostragr 13;	2014;	030103;	Sagene;	38637;	1;	LGG002;	301
030103;	Sagene;	0301;	Oslo;	OPT14;	Oslo universitetssykehus;	Helse Sør-Øst;	Kostragr 13;	2014;	030103;	Sagene;	38637;	1;	LGG003;	322
030103;	Sagene;	0301;	Oslo;	OPT14;	Oslo universitetssykehus;	Helse Sør-Øst;	Kostragr 13;	2015;	030103;	Sagene;	39918;	1;	LGG002;	301
030103;	Sagene;	0301;	Oslo;	OPT14;	Oslo universitetssykehus;	Helse Sør-Øst;	Kostragr 13;	2015;	030103;	Sagene;	39918;	1;	LGG003;	322
030103;	Sagene;	0301;	Oslo;	OPT14;	Oslo universitetssykehus;	Helse Sør-Øst;	Kostragr 13;	2016;	030103;	Sagene;	41566;	1;	LGG002;	301
030103;	Sagene;	0301;	Oslo;	OPT14;	Oslo universitetssykehus;	Helse Sør-Øst;	Kostragr 13;	2016;	030103;	Sagene;	41566;	1;	LGG003;	322
030103;	Sagene;	0301;	Oslo;	OPT14;	Oslo universitetssykehus;	Helse Sør-Øst;	Kostragr 13;	2017;	030103;	Sagene;	42442;	1;	LGG002;	301
030103;	Sagene;	0301;	Oslo;	OPT14;	Oslo universitetssykehus;	Helse Sør-Øst;	Kostragr 13;	2017;	030103;	Sagene;	42442;	1;	LGG003;	322
030103;	Sagene;	0301;	Oslo;	OPT14;	Oslo universitetssykehus;	Helse Sør-Øst;	Kostragr 13;	2018;	030103;	Sagene;	43131;	1;	LGG002;	301
030103;	Sagene;	0301;	Oslo;	OPT14;	Oslo universitetssykehus;	Helse Sør-Øst;	Kostragr 13;	2018;	030103;	Sagene;	43131;	1;	LGG003;	322
030103;	Sagene;	0301;	Oslo;	OPT14;	Oslo universitetssykehus;	Helse Sør-Øst;	Kostragr 13;	2019;	030103;	Sagene;	43801;	1;	LGG002;	301
030103;	Sagene;	0301;	Oslo;	OPT14;	Oslo universitetssykehus;	Helse Sør-Øst;	Kostragr 13;	2019;	030103;	Sagene;	43801;	1;	LGG003;	322
030103;	Sagene;	0301;	Oslo;	OPT14;	Oslo universitetssykehus;	Helse Sør-Øst;	Kostragr 13;	2020;	030103;	Sagene;	45089;	1;	LGG002;	301
030103;	Sagene;	0301;	Oslo;	OPT14;	Oslo universitetssykehus;	Helse Sør-Øst;	Kostragr 13;	2020;	030103;	Sagene;	45089;	1;	LGG003;	322
030103;	Sagene;	0301;	Oslo;	OPT14;	Oslo universitetssykehus;	Helse Sør-Øst;	Kostragr 13;	2021;	030103;	Sagene;	45672;	1;	LGG002;	301
030103;	Sagene;	0301;	Oslo;	OPT14;	Oslo universitetssykehus;	Helse Sør-Øst;	Kostragr 13;	2021;	030103;	Sagene;	45672;	1;	LGG003;	322
030103;	Sagene;	0301;	Oslo;	OPT14;	Oslo universitetssykehus;	Helse Sør-Øst;	Kostragr 13;	2022;	030103;	Sagene;	46424;	1;	LGG002;	301
030103;	Sagene;	0301;	Oslo;	OPT14;	Oslo universitetssykehus;	Helse Sør-Øst;	Kostragr 13;	2022;	030103;	Sagene;	46424;	1;	LGG003;	322
030103;	Sagene;	0301;	Oslo;	OPT14;	Oslo universitetssykehus;	Helse Sør-Øst;	Kostragr 13;	2023;	030103;	Sagene;	46984;	1;	LGG002;	301
030103;	Sagene;	0301;	Oslo;	OPT14;	Oslo universitetssykehus;	Helse Sør-Øst;	Kostragr 13;	2023;	030103;	Sagene;	46984;	1;	LGG003;	322
030103;	Sagene;	0301;	Oslo;	OPT14;	Oslo universitetssykehus;	Helse Sør-Øst;	Kostragr 13;	2024;	030103;	Sagene;	47660;	1;	LGG002;	301
030103;	Sagene;	0301;	Oslo;	OPT14;	Oslo universitetssykehus;	Helse Sør-Øst;	Kostragr 13;	2024;	030103;	Sagene;	47660;	1;	LGG003;	322
030103;	Sagene;	0301;	Oslo;	OPT14;	Oslo universitetssykehus;	Helse Sør-Øst;	Kostragr 13;	2025;	030103;	Sagene;	47801;	1;	LGG002;	301
030103;	Sagene;	0301;	Oslo;	OPT14;	Oslo universitetssykehus;	Helse Sør-Øst;	Kostragr 13;	2025;	030103;	Sagene;	47801;	1;	LGG003;	322
030104;	St. Hanshaugen;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2010;	030104;	St. Hanshaugen;	32254;	1;	LGG002;	294
030104;	St. Hanshaugen;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2010;	030104;	St. Hanshaugen;	32254;	1;	LGG003;	315
030104;	St. Hanshaugen;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2011;	030104;	St. Hanshaugen;	33137;	1;	LGG002;	294
030104;	St. Hanshaugen;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2011;	030104;	St. Hanshaugen;	33137;	1;	LGG003;	315
030104;	St. Hanshaugen;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2012;	030104;	St. Hanshaugen;	34109;	1;	LGG002;	294
030104;	St. Hanshaugen;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2012;	030104;	St. Hanshaugen;	34109;	1;	LGG003;	315
030104;	St. Hanshaugen;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2013;	030104;	St. Hanshaugen;	34982;	1;	LGG002;	294
030104;	St. Hanshaugen;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2013;	030104;	St. Hanshaugen;	34982;	1;	LGG003;	315
030104;	St. Hanshaugen;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2014;	030104;	St. Hanshaugen;	35630;	1;	LGG002;	294
030104;	St. Hanshaugen;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2014;	030104;	St. Hanshaugen;	35630;	1;	LGG003;	315
030104;	St. Hanshaugen;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2015;	030104;	St. Hanshaugen;	36218;	1;	LGG002;	294
030104;	St. Hanshaugen;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2015;	030104;	St. Hanshaugen;	36218;	1;	LGG003;	315
030104;	St. Hanshaugen;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2016;	030104;	St. Hanshaugen;	37263;	1;	LGG002;	294
030104;	St. Hanshaugen;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2016;	030104;	St. Hanshaugen;	37263;	1;	LGG003;	315
030104;	St. Hanshaugen;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2017;	030104;	St. Hanshaugen;	37849;	1;	LGG002;	294
030104;	St. Hanshaugen;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2017;	030104;	St. Hanshaugen;	37849;	1;	LGG003;	315
030104;	St. Hanshaugen;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2018;	030104;	St. Hanshaugen;	38109;	1;	LGG002;	294
030104;	St. Hanshaugen;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2018;	030104;	St. Hanshaugen;	38109;	1;	LGG003;	315
030104;	St. Hanshaugen;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2019;	030104;	St. Hanshaugen;	38400;	1;	LGG002;	294
030104;	St. Hanshaugen;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2019;	030104;	St. Hanshaugen;	38400;	1;	LGG003;	315
030104;	St. Hanshaugen;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2020;	030104;	St. Hanshaugen;	38945;	1;	LGG002;	294
030104;	St. Hanshaugen;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2020;	030104;	St. Hanshaugen;	38945;	1;	LGG003;	315
030104;	St. Hanshaugen;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2021;	030104;	St. Hanshaugen;	38864;	1;	LGG002;	294
030104;	St. Hanshaugen;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2021;	030104;	St. Hanshaugen;	38864;	1;	LGG003;	315
030104;	St. Hanshaugen;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2022;	030104;	St. Hanshaugen;	39066;	1;	LGG002;	294
030104;	St. Hanshaugen;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2022;	030104;	St. Hanshaugen;	39066;	1;	LGG003;	315
030104;	St. Hanshaugen;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2023;	030104;	St. Hanshaugen;	39487;	1;	LGG002;	294
030104;	St. Hanshaugen;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2023;	030104;	St. Hanshaugen;	39487;	1;	LGG003;	315
030104;	St. Hanshaugen;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2024;	030104;	St. Hanshaugen;	40095;	1;	LGG002;	294
030104;	St. Hanshaugen;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2024;	030104;	St. Hanshaugen;	40095;	1;	LGG003;	315
030104;	St. Hanshaugen;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2025;	030104;	St. Hanshaugen;	39840;	1;	LGG002;	294
030104;	St. Hanshaugen;	0301;	Oslo;	OPT12;	Lovisenberg;	Helse Sør-Øst;	Kostragr 13;	2025;	030104;	St. Hanshaugen;	39840;	1;	LGG003;	315
030105;	Frogner;	0301;	Oslo;	OPT2;	Diakonhjemmet;	Helse Sør-Øst;	Kostragr 13;	2010;	030105;	Frogner;	50396;	1;	LGG002;	304
030105;	Frogner;	0301;	Oslo;	OPT2;	Diakonhjemmet;	Helse Sør-Øst;	Kostragr 13;	2010;	030105;	Frogner;	50396;	1;	LGG003;	325
030105;	Frogner;	0301;	Oslo;	OPT2;	Diakonhjemmet;	Helse Sør-Øst;	Kostragr 13;	2011;	030105;	Frogner;	51120;	1;	LGG002;	304
030105;	Frogner;	0301;	Oslo;	OPT2;	Diakonhjemmet;	Helse Sør-Øst;	Kostragr 13;	2011;	030105;	Frogner;	51120;	1;	LGG003;	325
